Algoritmo;Precision;F1_Score;Latencia_Media;Verdaderos_Positivos_TP;Falsos_Positivos_FP;Falsos_Negativos_FN
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Logica_Difusa_Fugas;100.00%;0.0476;0.0 seg;1;0;40
Z-Score_Termico;30.77%;0.3516;0.0 seg;16;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Z-Score_Termico;30.77%;0.3516;0.0 seg;16;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Logica_Difusa_Fugas;100.00%;0.0476;0.0 seg;1;0;40
Z-Score_Termico;30.77%;0.3516;0.0 seg;16;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;30.77%;0.3516;0.0 seg;16;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Z-Score_Termico;30.77%;0.3516;0.0 seg;16;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;30.77%;0.3516;0.0 seg;16;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;30.77%;0.3516;0.0 seg;16;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;39
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Z-Score_Termico;32.08%;0.3656;0.0 seg;17;36;23
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;40
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.0909;0.0 seg;2;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1304;0.0 seg;3;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1304;0.0 seg;3;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1304;0.0 seg;3;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1304;0.0 seg;3;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1304;0.0 seg;3;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1667;0.0 seg;4;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1667;0.0 seg;4;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1667;0.0 seg;4;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1667;0.0 seg;4;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1667;0.0 seg;4;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.1667;0.0 seg;4;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Z-Score_Termico;32.08%;0.3617;0.0 seg;17;36;24
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;41
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2000;0.0 seg;5;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;32.08%;0.3579;0.0 seg;17;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;42
Z-Score_Termico;33.33%;0.3711;0.0 seg;18;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;43
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;33.33%;0.3711;0.0 seg;18;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;43
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;33.33%;0.3711;0.0 seg;18;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;43
Z-Score_Termico;33.33%;0.3711;0.0 seg;18;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;43
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;33.33%;0.3711;0.0 seg;18;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;43
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;33.33%;0.3711;0.0 seg;18;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;43
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2308;0.0 seg;6;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2593;0.0 seg;7;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2593;0.0 seg;7;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2593;0.0 seg;7;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2593;0.0 seg;7;0;40
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Z-Score_Termico;34.55%;0.3838;0.0 seg;19;36;25
EWMA_Termico;0.00%;0.0000;0.0 seg;0;20;44
Logica_Difusa_Fugas;100.00%;0.2593;0.0 seg;7;0;40
